User_id,Login,Nombres,ApellidoPaterno,ApellidoMaterno,Password,TipoUser_id,Status,fCreate,IDArea,LastLoginAttempt
1,root,Application, administrator,,55BEA0B8D7682CEB26F9140FAF9A69CD,2,1,2009-06-19 17:46:00,1,2024-10-03 13:28:50
2,adriAdmin,adriAdmin,adriAdmin,adriAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:49
3,agarciaAdmin,agarciaAdmin,agarciaAdmin,agarciaAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:49
4,agonzalezAdmin,agonzalezAdmin,agonzalezAdmin,agonzalezAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:49
5,alanAdmin,alanAdmin,alanAdmin,alanAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:49
6,alexAdmin,alexAdmin,alexAdmin,alexAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:49
7,armandAdmin,armandAdmin,armandAdmin,armandAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:49
8,carlosAdmin,carlosAdmin,carlosAdmin,carlosAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:50
9,cechavezAdmin,cechavezAdmin,cechavezAdmin,cechavezAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:50
10,charlesAdmin,charlesAdmin,charlesAdmin,charlesAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:50
11,daniAdmin,daniAdmin,daniAdmin,daniAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:50
12,davidAdmin,davidAdmin,davidAdmin,davidAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:50
13,efloresAdmin,efloresAdmin,efloresAdmin,efloresAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:50
14,eguevaraAdmin,eguevaraAdmin,eguevaraAdmin,eguevaraAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:50
15,ericAdmin,ericAdmin,ericAdmin,ericAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:50
16,fabiAdmin,fabiAdmin,fabiAdmin,fabiAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-10-02 17:13:00
17,fabianAdmin,fabianAdmin,fabianAdmin,fabianAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 12:54:51
18,fcotaAdmin,fcotaAdmin,fcotaAdmin,fcotaAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:51
19,fnajeraAdmin,fnajeraAdmin,fnajeraAdmin,fnajeraAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:51
20,fridaAdmin,fridaAdmin,fridaAdmin,fridaAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,2024-06-04 12:55:00,1,2024-06-04 17:48:48
21,gabiAdmin,gabiAdmin,gabiAdmin,gabiAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,2024-06-04 12:55:00,1,2024-06-04 12:54:51
22,gcruzAdmin,gcruzAdmin,gcruzAdmin,gcruzAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,2024-06-04 12:55:00,1,2024-06-04 12:54:51
